68 , Diamond , Round , Diamond , X=1.40 , Y=1.40 , Z=.87 , .01ct. (total .70ct.)
151 , Diamond , Round , Diamond , X=1.30 , Y=1.30 , Z=.81 , .01ct. (total 1.24ct.)
31 , Diamond , Round , Diamond , X=2.20 , Y=2.20 , Z=1.37 , .04ct. (total 1.24ct.)
12 , Diamond , Round , Diamond , X=3.00 , Y=3.00 , Z=1.87 , .10ct. (total 1.22ct.)
289 , Diamond , Round , Diamond , X=2.00 , Y=2.00 , Z=1.24 , .03ct. (total 8.63ct.)
43 , Diamond , Round , Diamond , X=2.10 , Y=2.10 , Z=1.31 , .03ct. (total 1.50ct.)
29 , Diamond , Round , Diamond , X=1.80 , Y=1.80 , Z=1.12 , .02ct. (total .63ct.)
36 , Diamond , Round , Diamond , X=1.90 , Y=1.90 , Z=1.18 , .03ct. (total .92ct.)
25 , Diamond , Round , Diamond , X=1.60 , Y=1.60 , Z=1.00 , .02ct. (total .39ct.)
58 , Diamond , Round , Diamond , X=1.50 , Y=1.50 , Z=.93 , .01ct. (total .73ct.)
42 , Diamond , Round , Diamond , X=1.70 , Y=1.70 , Z=1.06 , .02ct. (total .77ct.)
36 , Diamond , Round , Diamond , X=.80 , Y=.80 , Z=.50 , .00ct. (total .07ct.)
30 , Diamond , Round , Diamond , X=2.50 , Y=2.50 , Z=1.56 , .06ct. (total 1.76ct.)
14 , Diamond , Round , Diamond , X=2.40 , Y=2.40 , Z=1.49 , .05ct. (total .72ct.)
7 , Diamond , Round , Diamond , X=3.30 , Y=3.30 , Z=2.05 , .13ct. (total .94ct.)
24 , Diamond , Round , Diamond , X=2.30 , Y=2.30 , Z=1.43 , .05ct. (total 1.09ct.)
24 , Diamond , Round , Diamond , X=2.70 , Y=2.70 , Z=1.68 , .07ct. (total 1.77ct.)
78 , Diamond , Round , Diamond , X=1.10 , Y=1.10 , Z=.68 , .00ct. (total .39ct.)
4 , Diamond , Round , Diamond , X=2.60 , Y=2.60 , Z=1.62 , .07ct. (total .26ct.)
52 , Diamond , Round , Diamond , X=1.00 , Y=1.00 , Z=.62 , .00ct. (total .19ct.)
35 , Diamond , Round , Diamond , X=1.20 , Y=1.20 , Z=.75 , .01ct. (total .23ct.)
24 , Diamond , Round , Diamond , X=.90 , Y=.90 , Z=.56 , .00ct. (total .07ct.)
41 , Diamond , Round , Diamond , X=.70 , Y=.70 , Z=.44 , .00ct. (total .05ct.)
44 , Diamond , Round , Diamond , X=3.40 , Y=3.40 , Z=2.12 , .15ct. (total 6.49ct.)

Total Gems: 1197   Total Weight: 32.01ct.
