177 , Diamond , Round , Diamond , X=1.00 , Y=1.00 , Z=.62 , .00ct. (total .66ct.)
174 , Diamond , Round , Diamond , X=.90 , Y=.90 , Z=.56 , .00ct. (total .48ct.)
253 , Diamond , Round , Diamond , X=1.20 , Y=1.20 , Z=.75 , .01ct. (total 1.65ct.)
148 , Diamond , Round , Diamond , X=.60 , Y=.60 , Z=.37 , .00ct. (total .12ct.)
229 , Diamond , Round , Diamond , X=.80 , Y=.80 , Z=.50 , .00ct. (total .44ct.)
128 , Diamond , Round , Diamond , X=.70 , Y=.70 , Z=.44 , .00ct. (total .17ct.)
63 , Diamond , Round , Diamond , X=1.40 , Y=1.40 , Z=.87 , .01ct. (total .65ct.)
184 , Diamond , Round , Diamond , X=1.10 , Y=1.10 , Z=.68 , .00ct. (total .91ct.)
34 , Diamond , Round , Diamond , X=1.50 , Y=1.50 , Z=.93 , .01ct. (total .43ct.)
48 , Diamond , Round , Diamond , X=1.30 , Y=1.30 , Z=.81 , .01ct. (total .40ct.)
9 , Diamond , Round , Diamond , X=1.60 , Y=1.60 , Z=1.00 , .02ct. (total .14ct.)
24 , Diamond , Round , Diamond , X=.50 , Y=.50 , Z=.31 , .00ct. (total .01ct.)
18 , Diamond , Round , Diamond , X=.70 , Y=.70 , Z=.43 , .00ct. (total .02ct.)
16 , Diamond , Baguette Straight , Diamond , X=1.00 , Y=1.50 , Z=.64 , .01ct. (total .16ct.)
40 , Diamond , Baguette Straight , Diamond , X=.80 , Y=1.30 , Z=.64 , .01ct. (total .28ct.)
48 , Diamond , Baguette Straight , Diamond , X=1.00 , Y=1.60 , Z=.64 , .01ct. (total .52ct.)

Total Gems: 1593   Total Weight: 7.03ct.
